Indicator Code: CG0010
"Indicator Name: Communicable, maternal, perinatal and nutritional conditions"
Export date: 7/24/2025 3:33:02 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-B99, D50-D53, D64.9, E00-E02, E40-E46, E50-E64, G00-G04, G14, H65-H66, J00-J22, N70-N73, O00-O99, P00-P96, U04, U07.1, U07.2, U09.9, U10.9"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2008,Male,Age_all,[All],43.00000000,15.30249110,108.56283181,105.57069554,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2008,Female,Age_all,[All],34.00000000,13.76518219,69.67618718,76.12565211,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2009,All,Age_all,[All],48.00000000,12.90322581,55.68262768,55.33396353,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2009,Male,Age_all,[All],29.00000000,14.42786070,72.19181746,69.97394074,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2009,Female,Age_all,[All],19.00000000,11.11111111,40.24143946,41.94353076,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2012,All,Age_all,[All],58.00000000,11.76470588,63.04784843,64.15290513,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2012,Male,Age_all,[All],39.00000000,14.07942238,92.32986328,89.91769073,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2012,Female,Age_all,[All],19.00000000,8.79629630,37.31702149,40.39630905,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2013,All,Age_all,[All],53.00000000,11.25265393,55.40082766,57.91337034,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2013,Male,Age_all,[All],29.00000000,11.32812500,66.20734117,65.98257150,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2013,Female,Age_all,[All],24.00000000,11.16279070,45.36345537,50.46363464,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2014,All,Age_all,[All],68.00000000,11.72413793,70.14386880,73.46427260,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2014,Male,Age_all,[All],36.00000000,11.07692308,82.09011180,80.89524066,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2014,Female,Age_all,[All],32.00000000,12.54901961,59.40714321,66.58343737,
CSA,Central and South America,ARG,Argentina,1966,All,Age_all,[All],22871.00000000,14.86162464,98.11184112,101.70313056,
CSA,Central and South America,ARG,Argentina,1966,Male,Age_all,[All],12582.00000000,13.79877607,108.10873027,111.02091238,
CSA,Central and South America,ARG,Argentina,1966,Female,Age_all,[All],10289.00000000,16.40700993,88.47292869,92.23666517,
CSA,Central and South America,ARG,Argentina,1967,All,Age_all,[All],27782.00000000,15.04649563,115.89114425,121.85087719,
CSA,Central and South America,ARG,Argentina,1967,Male,Age_all,[All],15345.00000000,13.98814950,129.77381708,133.67889189,
CSA,Central and South America,ARG,Argentina,1967,Female,Age_all,[All],12437.00000000,16.59572197,103.00450741,109.85778641,
CSA,Central and South America,ARG,Argentina,1968,All,Age_all,[All],37865.00000000,17.75091063,151.55821232,163.83264105,
CSA,Central and South America,ARG,Argentina,1968,Male,Age_all,[All],20546.00000000,16.26774559,165.29549502,176.73978495,
